parameter	distribution	param1	param2	mean	sd	sd.prior	transformation	mean.transf	ucl.transf	sd.transf.1	sd.transf	sd1
theta.1	beta	172.7	52.4	0.8	0.42	0.02	logit	1.192838962	1.516346812	0.165055025	2.361123739	-0.316022443
theta.2	beta	547.2	70.3	0.9	0.32	0.01	logit	2.052340386	2.31363615	0.133314166	3.146184882	-0.766066966
theta.3	beta	183.7	72.6	0.7	0.45	0.04	logit	0.927662632	1.208311771	0.143188336	2.214691358	-0.201605911
theta.4	beta	47.5	2.5	1.0	0.22	0.55	logit	2.944438979	4.59511985	0.842184118	4.542217961	-1.29057588
theta.5	beta	217.0	28.8	0.9	0.32	0.55	logit	2.020646943	2.442347035	0.215153108	3.104254486	-0.749971356
theta.6	beta	437.1	70.4	0.9	0.35	0.55	logit	1.826534517	2.090760505	0.134809177	2.890811685	-0.640020118
theta.7	beta	99.1	59.1	0.6	0.48	0.55	logit	0.517290521	0.847455961	0.168451755	2.060726274	-0.071238026
pi.m	beta	9.0	2.7	0.8	0.40	0.01	logit	1.194245392	2.943794955	0.892627328	2.264850955	-0.38820653
pi.f	beta	6.1	2.3	0.7	0.42	0.03	logit	0.968705817	2.943580364	1.007589054	2.103032445	-0.325141829
pi.msm	beta	8.0	3.8	0.7	0.45	0.02	logit	0.7472745	2.197224577	0.739770448	2.048800665	-0.213370154
rp.1.1.1.1	gamma	2.2	0.6	3.7	2.51	3.50	log	1.305726756	2.302585093	0.508601193	0.681408263	0.922133109
rp.1.1.2.1	normal	32.5	8.9	32.5	8.92	8.93	log	3.481240089	3.912023005	0.219787202	0.274461538	2.188295947
rp.1.2.1.1	gamma	2.2	0.6	3.7	2.51	3.50	log	1.305726756	2.302585093	0.508601193	0.681408263	0.922133109
rp.1.2.2.1	gamma	1.9	0.1	17.7	12.75	18.00	log	2.871438388	3.911783857	0.530788505	0.721997629	2.545704963
rp.1.1.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163	0.162911886
rp.1.1.2.2	normal	45.0	15.3	45.0	15.30	15.31	log	3.80666249	4.317488114	0.260625318	0.34	2.727852828
rp.1.2.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163	0.162911886
rp.1.2.2.2	gamma	8.5	0.8	11.3	3.87	4.69	log	2.420810704	2.995732274	0.293327331	0.343502693	1.352250378
rp.2.1.1.1	gamma	2.2	0.6	3.7	2.51	3.50	log	1.305726756	2.302585093	0.508601193	0.681408263	0.922133109
rp.2.1.2.1	normal	27.5	11.5	27.5	11.48	11.48	log	3.314186005	3.912023005	0.305018878	0.417447273	2.440588969
rp.2.2.1.1	gamma	2.2	0.6	3.7	2.51	3.50	log	1.305726756	2.302585093	0.508601193	0.681408263	0.922133109
rp.2.2.2.1	gamma	5.3	0.4	14.9	6.48	8.21	log	2.698774224	3.401197382	0.358379162	0.436103638	1.86889886
rp.2.1.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163	0.162911886
rp.2.1.2.2	normal	45.0	15.3	45.0	15.30	15.31	log	3.80666249	4.317488114	0.260625318	0.34	2.727852828
rp.2.2.1.2	gamma	3.4	1.6	2.2	1.18	1.56	log	0.768584666	1.609437912	0.429006758	0.545707163	0.162911886
rp.2.2.2.2	gamma	5.3	0.4	14.9	6.48	8.21	log	2.698774224	3.401197382	0.358379162	0.436103638	1.86889886
rp.3.1.2.1	gamma	4.3	0.6	7.0	3.39	4.37	log	1.942855994	2.708050201	0.390405208	0.48507125	1.219396503
rp.3.2.2.1	gamma	4.3	0.6	7.0	3.39	4.37	log	1.942855994	2.708050201	0.390405208	0.48507125	1.219396503
rp.3.1.2.2	gamma	5.3	0.4	14.9	6.48	8.21	log	2.698774224	3.401197382	0.358379162	0.436103638	1.86889886
rp.3.2.2.2	gamma	5.3	0.4	14.9	6.48	8.21	log	2.698774224	3.401197382	0.358379162	0.436103638	1.86889886
rp.4.1.2.1	normal	45.0	15.3	45.0	15.30	15.31	log	3.80666249	4.317488114	0.260625318	0.34	2.727852828
rp.4.1.2.2	normal	45.0	15.3	45.0	15.30	15.31	log	3.80666249	4.317488114	0.260625318	0.34	2.727852828
rep.symp.a	beta	90.1	25.5	0.8	0.41	0.04	logit	1.263209229	1.734601055	0.240506034	2.401907692	-0.352672632
rep.symp.d	beta	116.1	12.1	0.9	0.29	0.02	logit	2.265263821	2.944051678	0.346320335	3.412605112	-0.891770661
rand.rep.symp.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.rep.symp.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.f1.a	beta	12.6	24.3	0.3	0.47	0.08	logit	-0.654959859	6.52E-05	0.334196459	2.079435758	-0.128720503
screen.f1.d	beta	24.7	33.8	0.4	0.49	0.07	logit	-0.312554695	0.200688877	0.261858965	2.007105504	-0.041131843
rand.screen.f1.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.f1.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.f2.a	beta	6.7	22.0	0.2	0.41	0.09	logit	-1.194770078	-0.4054629	0.402707744	2.32605702	-0.343520928
screen.f2.d	beta	7.9	17.4	0.3	0.45	0.10	logit	-0.796194582	8E-07	0.406222134	2.117477315	-0.186123853
rand.screen.f2.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.f2.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.m1.a	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
screen.m1.d	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
rand.screen.m1.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.m1.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.m2.a	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
screen.m2.d	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
rand.screen.m2.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.m2.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.msm1.a	beta	5.7	10.2	0.4	0.46	0.13	logit	-0.583807658	0.405468025	0.504732491	2.019241978	-0.143738424
screen.msm1.d	beta	7.0	9.9	0.4	0.48	0.12	logit	-0.341137704	0.619045362	0.489889319	1.968404073	-0.087827837
rand.screen.msm1.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.msm1.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.msm2.a	beta	5.7	10.2	0.4	0.46	0.13	logit	-0.583807658	0.405468025	0.504732491	2.019241978	-0.143738424
screen.msm2.d	beta	7.0	9.9	0.4	0.48	0.12	logit	-0.341137704	0.619045362	0.489889319	1.968404073	-0.087827837
rand.screen.msm2.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.msm2.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.f1.1.a	beta	12.6	24.3	0.3	0.47	0.08	logit	-0.654959859	6.52E-05	0.334196459	2.079435758	-0.128720503
screen.f1.1.d	beta	24.7	33.8	0.4	0.49	0.07	logit	-0.312554695	0.200688877	0.261858965	2.007105504	-0.041131843
rand.screen.f1.1.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.f1.1.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.f2.1.a	beta	6.7	22.0	0.2	0.41	0.09	logit	-1.194770078	-0.4054629	0.402707744	2.32605702	-0.343520928
screen.f2.1.d	beta	7.9	17.4	0.3	0.45	0.10	logit	-0.796194582	8E-07	0.406222134	2.117477315	-0.186123853
rand.screen.f2.1.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.f2.1.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.m1.1.a	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
screen.m1.1.d	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
rand.screen.m1.1.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.m1.1.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
screen.m2.1.a	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
screen.m2.1.d	beta	2.6	22.3	0.1	0.30	0.08	logit	-2.135749915	-1.098611969	0.529152013	3.18701961	-0.841653983
rand.screen.m2.1.b	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
rand.screen.m2.1.c	beta	1.1	1.1	0.5	0.39	0.24	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
behav.lin	beta	1	15	0.0	0.12	0.01923	logit	-4.131129518	-2.944438979	0.605454356	7.971246883	-1.95472947
risk.rep.symp.m	beta	12	3	0.5	0.39	0.23980	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
risk.rep.symp.m1	beta	12	3	0.5	0.39	0.23980	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
risk.rep.symp.f	beta	12	3	0.5	0.39	0.23980	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
risk.rep.symp.f1	beta	12	3	0.5	0.39	0.23980	logit	0	3.47609869	1.77351974	1.551760355	-0.455979255
